experiment_id,run_id,config_id,scope,cache_state,metric,unit,observations,failures,mean,median,standard_deviation,p95
paper_pilot_cuda_final_v3,run_01,whisper_medium,query,not_applicable,retrieval_ms,milliseconds,45,0,0.412388,0.347455,0.220857,0.552060
paper_pilot_cuda_final_v3,run_01,whisper_medium,query,not_applicable,generation_ms,milliseconds,45,0,7149.307453,7074.910548,2374.645125,10848.496175
paper_pilot_cuda_final_v3,run_01,whisper_medium,query,not_applicable,total_pipeline_ms,milliseconds,45,0,7164.483207,7095.857588,2373.394988,10873.202815
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,26.185326,23.088171,7.340708,38.632137
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,1200.523677,1195.915025,111.185234,1377.272211
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,asr_ms,milliseconds,9,0,14063.834254,13699.211613,1562.351743,17544.434159
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,3.621078,3.323971,0.771009,5.251773
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,785.571805,777.492666,81.402785,938.077965
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,6575.363775,3192.665645,5200.903477,14828.652473
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,indexing_ms,milliseconds,9,0,3.499136,3.167212,0.756190,4.988052
paper_pilot_cuda_final_v3,run_01,whisper_medium,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,23200.444032,19891.327342,5334.885324,31533.116173
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,query,not_applicable,query_embedding_ms,milliseconds,45,0,15.849343,10.740448,25.640210,23.345457
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,query,not_applicable,retrieval_ms,milliseconds,45,0,0.635014,0.343048,1.202852,1.687487
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,query,not_applicable,generation_ms,milliseconds,45,0,6902.289356,5745.235841,3396.691498,14439.197991
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,query,not_applicable,total_pipeline_ms,milliseconds,45,0,6920.501061,5754.275975,3398.931047,14449.707173
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,37.042901,28.502477,28.429244,108.033176
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,890.801805,1008.530632,268.213196,1281.247027
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,asr_ms,milliseconds,9,0,3354.200039,3467.277232,1105.031557,5162.322569
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,3.152417,3.330173,1.212365,5.604993
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,760.118523,806.251396,222.205546,1193.909572
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,6211.027429,2542.760726,5302.439370,15507.771723
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,indexing_ms,milliseconds,9,0,3.921139,3.491185,1.147596,5.547710
paper_pilot_cuda_final_v3,run_02,full_rrf_chrono,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,11386.420821,9072.907307,5882.177051,21602.744204
paper_pilot_cuda_final_v3,run_02,image_only,query,not_applicable,query_embedding_ms,milliseconds,45,0,11.535284,9.416932,6.050625,19.604182
paper_pilot_cuda_final_v3,run_02,image_only,query,not_applicable,retrieval_ms,milliseconds,45,0,0.267080,0.127232,0.585400,0.345261
paper_pilot_cuda_final_v3,run_02,image_only,query,not_applicable,generation_ms,milliseconds,45,0,8722.396276,7490.622128,3790.011541,15689.435480
paper_pilot_cuda_final_v3,run_02,image_only,query,not_applicable,total_pipeline_ms,milliseconds,45,0,8735.051170,7528.940462,3789.747019,15698.789983
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,29.211585,15.229277,19.555935,59.965331
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,audio_extraction_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,asr_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,frame_extraction_ms,milliseconds,9,0,5.542179,5.627986,2.463650,10.087836
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,text_embedding_ms,milliseconds,9,0,0.000000,0.000000,0.000000,0.000000
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,image_embedding_ms,milliseconds,9,0,4416.312799,2347.488908,3336.614835,10380.490267
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,indexing_ms,milliseconds,9,0,1.669060,1.235680,1.352936,5.478668
paper_pilot_cuda_final_v3,run_02,image_only,video_preprocessing,warm,total_pipeline_ms,milliseconds,9,0,4539.414802,2447.745670,3331.660483,10493.213678
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,query,not_applicable,query_embedding_ms,milliseconds,45,0,12.614198,9.599851,8.535324,33.619611
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,query,not_applicable,retrieval_ms,milliseconds,45,0,0.282450,0.217882,0.209733,0.474678
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,query,not_applicable,generation_ms,milliseconds,45,0,6915.690013,6369.257586,2817.095340,10635.021465
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,query,not_applicable,total_pipeline_ms,milliseconds,45,0,6929.807903,6378.950142,2816.494552,10642.123800
paper_pilot_cuda_final_v3,run_02,raw_score_fusion,video_preprocessing,warm,ingestion_ms,milliseconds,9,0,27.587650,15.490278,25.570347,88.466912
